question,	tags,	difficulty
"""已知等比数列$\\{a_n\\}$的公比$q < 0$，且数列$\\{a_n\\}$是一个递减的数列，则$q$的值可以为（ ）"""	,"""等比数列"", ""单调性""",	"""中等"""
"""记等差数列$\\{a_n\\}$的前$n$项和为$S_n$，若$a_3 + a_7 = 12$，则$S_9 =$（ ）""",	"""等差数列"", ""前n项和""",	"""中等"""
"""设数列$\\{a_n\\}$满足$a_1 = 1$，$a_{n+1} = a_n + 2^n$，则数列$\\{a_n\\}$的前$n$项和$S_n =$（ ）"""	"""递推数列"", ""分组求和"""	"""困难"""
"""等差数列$\\{a_n\\}$满足$a_1 + a_4 = 10$，$a_2 + a_5 = 14$，则$a_3 + a_6 =$（ ）"""	"""等差数列"", ""通项公式"""	"""中等"""
"""已知数列$\\{a_n\\}$满足$a_1 = 1$，$a_{n+1} = 2a_n + 1$，则$[a_{2023}]$（$[x]$表示不超过$x$的最大整数）为（ ）"""	"""递推数列"", ""取整函数"""	"""困难"""
"""已知数列$\\{a_n\\}$的前$n$项和为$S_n$，$a_1 = -1$，$\\frac{S_n}{n} = \\frac{S_{n-1}}{n-1} + 1$，设$b_n = (-1)^n a_n$，则数列$\\{b_n\\}$的前51项之和为（ ）"""	"""前n项和"", ""并项求和"""	"""困难"""
"""某企业年初资金1000万元，资金年平均增长率$50\\%$，每年年底扣除50万元后投入再生产，设每年年初资金为$a_n$，则$a_{n+1}$与$a_n$的关系为（ ）"""	"""递推数列"", ""应用题"""	"""中等"""
"""递推得$a_n = 2^n - 1$，总小麦数为$2^{64} - 1$。当$a_n \\leq 2^{64}-1$时，最大$n=5$（因$2^5 -1=31 < 2^{64}$）。"""	"""递推数列"", ""应用题"""	"""困难"""
"""已知$\\{a_n\\}$是等比数列，公比为$q$，存在无穷多个$n$满足$a_{2n} = a_n^2$，则可能成立的选项有（ ）"""	"""等比数列"", ""递推数列"""	"""中等"""
"""关于斐波那契数列$\\{F_n\\}$（$F_1=1, F_2=1, F_{n+2}=F_{n+1}+F_n$），正确命题是（ ）"""	"""斐波那契数列"", ""性质证明"""	"""困难"""
"""已知数列$\\{a_n\\}$的前$n$项和为$S_n$，则数列$\\{a_n\\}$的通项公式为"""	"""数列通项"", ""前n项和"""	"""简单"""
"""记$S_n$为公差不为零的等差数列$\\{a_n\\}$的前$n$项和. 若$a_1 = 1$，且$a_1$, $a_3$, $a_6$成等比数列，则$S_3$的值为"""	"""等差数列"", ""等比中项"""	"""中等"""
